Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
JE,"Just Energy Group Inc.",1,Buy/Sell,43042.7188,0.3700,1164.0138,0.0100,0.0100,793.0000,7.9300,6.4600,22.7554,
NFI,"NFI Group Inc.",2,Buy/Sell,43042.7188,0.3700,1060.9375,10.3295,8.5838,1.7727,19.1100,13.7000,39.4891,
CXR,"Concordia Intl *",3,Buy,43042.7188,0.3700,3433.7009,20.6129,9.1413,4.7074,101.7800,36.2500,180.7724,
DGC,"Detour Gold Corp.*",4,Buy,43042.7188,0.3700,2268.6536,13.8678,12.7717,0.9095,13.2900,13.6900,-2.9218,
AIM,"Aimia Inc.",5,Buy,43042.7188,0.3700,1833.4132,1.8882,2.9111,6.0693,11.4600,17.2500,-33.5652,
CCL.B,"CCL Industries Inc., B",6,Buy,43042.7188,0.3700,5996.2119,39.5633,32.8656,4.3475,172.0000,113.3400,51.7558,
NG,"NovaGold Resources*",7,Buy,43042.7188,0.3700,1563.8792,1.4190,1.5125,3.2881,4.9200,4.2900,14.6853,
SLF,"Sun Life Financial Inc.",8,Buy,43042.7188,0.3700,25535.3887,29.2810,25.3743,1.4470,41.8200,40.4300,3.4380,
CSU,"Constellation Software*",9,Buy,43042.7188,0.3700,11914.0732,16.0200,12.9293,33.3059,562.2100,269.4800,108.6277,
TCN,"Tricon Capital Group*",10,Buy,43042.7188,0.3700,1181.3580,6.3847,5.3955,1.5698,11.4000,7.7400,47.2868,
SU,"Suncor Energy Inc.",11,Buy,43042.7188,0.3700,53869.1914,28.7841,28.5352,1.2945,37.2600,44.6300,-16.5136,
ECI,"EnerCare Inc.",12,Buy,43042.7188,0.3700,1287.1683,5.0671,1.1188,2.8414,14.0000,13.8200,1.3025,
BHC,"Bausch Health Comp.*",13,Buy,43042.7188,0.3700,104059.8438,23.4196,16.8182,12.3591,304.9900,127.3800,139.4332,
RBA,"Ritchie Bros. Auctions*",14,Buy,43042.7188,0.3700,3891.2446,8.2433,7.2558,4.1826,36.3300,25.8300,40.6504,
CG,"Centerra Gold Inc.*",15,Buy,43042.7188,0.3700,1573.0854,7.6359,6.4533,0.8307,6.6500,6.5600,1.3720,
ATD.B,"Aliment'n Couche-Tard*",16,Buy,43042.7188,0.3700,31632.7988,8.3147,7.6741,6.2206,55.7500,32.6100,70.9598,
WSP,"WSP Global Inc.",17,Buy,43042.7188,0.3700,3803.9543,26.1279,20.4652,1.6151,42.2000,36.4800,15.6798,
EFN,"Element Fleet Mgmt.",18,Buy,43042.7188,0.3700,4972.3120,10.1140,7.0498,1.8608,18.8200,14.1100,33.3806,
DOL,"Dollarama Inc.",19,Buy,43042.7188,0.3700,9602.7930,5.6894,5.5228,13.4157,75.1200,46.2850,62.2988,
DSG,"Descartes Systems*",20,Buy,43042.7188,0.3700,1718.3915,6.4027,4.4388,3.2776,22.7600,15.2000,49.7368,
ESI,"Ensign Energy Services",21,Buy,43042.7188,0.3700,1610.1924,13.8820,13.0659,0.7578,10.5200,16.3100,-35.4997,
BAM.A,"Brookfield Asset Mgmt*",22,Buy,43042.7188,0.3700,40607.4219,27.8840,21.4597,1.4170,41.4100,34.6333,19.5670,
TIH,"Toromont Industries Ltd",23,Buy,43042.7188,0.3700,2721.9526,9.1096,7.8010,3.8465,35.0400,27.1900,28.8709,
DHX,"DHX Media Ltd.",24,Buy,43042.7188,0.3700,1077.4141,2.0697,1.7386,4.1543,8.5400,7.6100,12.2208,
EMA,"Emera Inc.",25,Buy,43042.7188,0.3700,6596.3999,20.5118,17.7872,2.2653,45.5600,34.3800,32.5189,
DOO,"BRP Inc",26,Buy,43042.7188,0.3700,1041.7007,0.3835,0.0100,70.8735,27.1800,26.4800,2.6435,
RON,"RONA Inc.",27,Buy,43042.7188,0.3700,1534.3468,12.8451,12.4098,1.1055,14.2000,14.2900,-0.6298,
CLS,"Celestica Inc.*",28,Buy,43042.7188,0.3700,1994.1918,9.4991,8.5072,1.6065,16.0800,11.9600,34.4482,
SJ,"Stella-Jones Inc.",29,Buy,43042.7188,0.3700,3084.9885,11.4508,8.9070,3.9037,44.7000,29.8400,49.7989,
ONEX,"Onex Corporation*",30,Buy,43042.7188,0.3700,8500.4121,1.3951,10.6861,56.9863,80.1000,63.3100,26.5203,
RCH,"Richelieu Hardware Ltd.",31,Buy,43042.7188,0.3700,1294.6970,16.6600,13.7395,4.0309,66.5500,49.6000,34.1734,
WPK,"Winpak Ltd.*",32,Buy,43042.7188,0.3700,2598.0500,12.1015,9.0448,3.1346,39.9700,29.4000,35.9524,
NWC,"North West Company Inc.",33,Buy,43042.7188,0.3700,1313.8324,6.7307,6.6109,4.2061,27.0900,24.6400,9.9432,
MRU,"Metro Inc.",34,Buy,43042.7188,0.3700,8528.5908,10.9384,10.3696,3.2102,34.7400,23.4967,47.8506,
RRX,"Raging River Explor.",35,Buy,43042.7188,0.3700,1674.7489,3.0329,2.4301,2.7729,8.4100,11.0000,-23.5455,
PXT,"Parex Resources Inc.*",36,Buy,43042.7188,0.3700,1361.4778,6.3375,5.8405,1.3582,9.0700,14.0300,-35.3528,
