Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
AC,"Air Canada",1,Buy,50166.8711,0.7100,6339.6929,4.4071,0.0100,5.2960,23.3400,8.9600,160.4911,
CFP,"Canfor Corp.",2,Buy,50166.8711,0.7100,2904.4365,12.1411,9.9236,1.8013,21.8700,15.2300,43.5982,
SHOP,"Shopify Inc. *",3,Buy,50166.8711,0.7100,11790.4854,12.8804,3.0024,11.0327,138.0000,54.4000,153.6765,
KL,"Kirkland Lake Gold Ltd*",4,Buy,50166.8711,0.7100,3404.9287,6.2801,4.3719,2.6678,16.2700,10.6900,52.1983,
LUN,"Lundin Mining Corp.*",5,Buy,50166.8711,0.7100,6862.9287,6.0314,5.4527,1.6117,9.4400,4.9600,90.3226,
TOY,"Spin Master Corp.*",6,Buy/Sell,50166.8711,0.7100,1286.2499,4.4785,2.9930,10.5355,45.8200,28.2500,62.1947,
DOO,"BRP Inc",7,Buy,50166.8711,0.7100,1261.2721,1.3986,0.3219,31.4728,41.5000,24.3700,70.2913,
AGI,"Alamos Gold Inc.*",8,Buy,50166.8711,0.7100,3126.2847,8.7022,8.6534,1.2307,10.4000,9.2300,12.6761,
DGC,"Detour Gold Corp.*",9,Buy,50166.8711,0.7100,3053.7471,14.0936,13.8809,1.2772,17.4800,29.6000,-40.9459,
WJA,"WestJet Airlines Ltd.",10,Buy,50166.8711,0.7100,3119.4541,18.1820,16.4411,1.4646,26.6300,24.2000,10.0413,
IMG,"Iamgold Corporation*",11,Buy,50166.8711,0.7100,3852.4094,7.7077,6.3731,1.1075,8.2900,4.8700,70.2259,
BAD,"Badger Daylighting Ltd.",12,Buy/Sell,50166.8711,0.7100,1072.9609,7.6886,7.0845,3.7965,28.9200,26.1700,10.5082,
PSI,"Pason Systems Inc.",13,Buy,50166.8711,0.7100,1518.6162,4.3137,4.9635,4.1496,17.9000,18.7000,-4.2781,
GC,"Great Cdn. Gaming Corp.",14,Buy,50166.8711,0.7100,2062.1758,7.0825,5.5551,4.7879,33.9100,21.7900,55.6218,
DDC,"Dominion Diamond Corp*",15,Buy,50166.8711,0.7100,1448.2396,19.9262,18.6071,0.9756,17.6800,11.5000,53.7391,
CG,"Centerra Gold Inc.*",16,Buy,50166.8711,0.7100,2184.6240,8.4901,7.7833,0.9097,7.5000,6.5600,14.3293,
TCW,"Trican Well Service Ltd",17,Buy,50166.8711,0.7100,1281.4388,3.2639,2.6555,1.1336,3.7000,2.1400,72.8972,
OSB,"Norbord Inc.*",18,Buy,50166.8711,0.7100,3703.6672,11.8224,8.4042,3.9159,43.0000,31.5000,36.5079,
WFT,"West Fraser Timber Co.",19,Buy,50166.8711,0.7100,4916.7061,31.2792,25.3154,2.0713,64.7900,44.1500,46.7497,
VSN,"Veresen Inc.",20,Buy,50166.8711,0.7100,5517.1567,7.1831,7.6431,2.5069,17.5900,12.9200,36.1455,
IVN,"Ivanhoe Mines Ltd.*",21,Buy,50166.8711,0.7100,3562.3184,1.7899,1.8182,2.6061,4.5300,1.8600,143.5484,
K,"Kinross Gold Corp. *",22,Buy,50166.8711,0.7100,7095.3940,4.5025,4.4648,1.3013,5.6900,5.2400,8.5878,
G,"Goldcorp Inc. *",23,Buy,50166.8711,0.7100,14876.4346,20.7593,20.1000,0.8418,17.1600,19.9600,-14.0281,
AEM,"Agnico Eagle Mines Ltd*",24,Buy,50166.8711,0.7100,14849.1045,27.1469,25.4114,2.4397,64.0100,66.4700,-3.7009,
RUS,"Russel Metals Inc.",25,Buy,50166.8711,0.7100,1607.8330,13.2670,13.0737,2.0191,26.0200,21.7900,19.4126,
PSK,"PrairieSky Royalty Ltd",26,Buy,50166.8711,0.7100,6936.5835,11.7054,11.4187,2.5336,29.3400,25.7000,14.1634,
FFH,"Fairfax Financial*",27,Buy,50166.8711,0.7100,18226.2305,490.9099,528.2736,1.3070,649.0800,742.2200,-12.5488,
PBH,"Premium Brands Holding",28,Buy,50166.8711,0.7100,2944.6624,14.3973,12.8339,6.8492,98.6100,62.2200,58.4860,
WEF,"Western Forest Products",29,Buy/Sell,50166.8711,0.7100,1048.2544,1.3844,1.2125,1.9422,2.6500,2.1200,25.0000,
BB,"BlackBerry Limited*",30,Buy,50166.8711,0.7100,6148.2700,7.0565,6.4984,1.7555,11.5700,9.9500,16.2814,
CCA,"Cogeco Communications",31,Buy,50166.8711,0.7100,3157.4697,31.6849,29.1895,2.9899,93.4500,63.4500,47.2813,
ECA,"EnCana Corporation*",32,Buy,50166.8711,0.7100,11337.1045,9.0511,7.5109,1.3254,11.6500,12.5200,-6.9489,
CVE,"Cenovus Energy Inc.",33,Buy,50166.8711,0.7100,12004.3740,16.0328,14.0131,0.6094,9.7700,18.9500,-48.4433,
BBD.B,"Bombardier Inc.,B*",34,Buy,50166.8711,0.7100,5616.4409,0.0100,0.0100,198.4127,2.5000,2.1500,16.2791,
FTT,"Finning International",35,Buy,50166.8711,0.7100,4802.5425,11.5231,11.2432,2.5209,28.5700,23.2600,22.8289,
