Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
BTO,"B2Gold Corp.*",1,Buy,35183.7109,0.8900,1275.3625,0.9092,0.7657,4.0915,3.7200,1.9000,95.7895,
NEM,"Neo Material Tech Inc.*",2,Buy/Sell,35183.7109,0.8900,1076.1875,2.9897,2.1110,3.0003,8.9700,3.8900,130.5913,
ASR,"Alacer Gold Corp. *",3,Buy,35183.7109,0.8900,3056.4971,4.6039,0.7919,2.3915,11.0100,7.2400,52.0718,
MFL,"Minefinders Corp.*",4,Buy,35183.7109,0.8900,1292.0797,3.8827,2.7453,4.0977,15.9100,9.8400,61.6870,
ATP,"Atlantic Power Corp.*",5,Buy/Sell,35183.7109,0.8900,1041.9507,6.0162,6.6807,2.6021,15.1800,13.3700,13.5378,
NGD,"New Gold Inc.*",6,Buy,35183.7109,0.8900,5983.5664,4.5769,4.8059,2.9059,13.3000,6.7500,97.0370,
NSU,"Nevsun Resources Ltd. *",7,Buy,35183.7109,0.8900,1328.1996,1.2532,1.0948,5.3543,6.7100,5.0000,34.2000,
CFW,"Calfrac Well Services",8,Buy,35183.7109,0.8900,1508.1718,12.9897,10.8409,2.6483,34.4000,23.7500,44.8421,
EDR,"Endeavour Silver Corp.*",9,Buy/Sell,35183.7109,0.8900,982.9228,1.9529,1.4686,5.9911,11.7000,3.8700,202.3256,
CVE,"Cenovus Energy Inc.",10,Buy,35183.7109,0.8900,26667.3945,11.7100,13.3746,3.0231,35.4000,28.6900,23.3879,
MTL,"Mullen Group Ltd.",11,Buy,35183.7109,0.8900,1726.1863,8.3811,14.3820,2.5748,21.5800,13.8700,55.5876,
TET,"Trilogy Energy Corp.",12,Buy,35183.7109,0.8900,2301.0532,4.6383,4.0444,5.9169,27.0300,11.0500,144.6154,
FR,"First Majestic Silver*",13,Buy,35183.7109,0.8900,2458.5271,2.7362,2.3468,8.6032,23.5400,4.9400,376.5182,
PD,"Precision Drilling Corp",14,Buy,35183.7109,0.8900,3769.8757,7.2534,9.4547,1.8833,13.6600,6.6800,104.4910,
LLL,"lululemon athletica*",15,Buy,35183.7109,0.8900,5788.4233,2.9957,1.9145,17.8723,53.5400,17.5200,205.5936,
CCA,"Cogeco Communications",16,Buy/Sell,35183.7109,0.8900,1529.6586,20.5528,22.6141,2.2724,46.2500,35.8200,29.1178,
DAY,"Daylight Energy Ltd.",17,Buy,35183.7109,0.8900,1681.3239,5.6469,6.3857,1.4242,7.9000,9.1100,-13.2821,
KL,"Kirkland Lake Gold Ltd*",18,Buy,35183.7109,0.8900,1395.4139,2.6443,2.1509,7.5597,19.9900,8.6700,130.5652,
POU,"Paramount Resources Ltd",19,Buy/Sell,35183.7109,0.8900,2627.1968,10.1240,10.1181,3.2823,33.2300,19.8500,67.4055,
PPL,"Pembina Pipeline Corp.",20,Buy,35183.7109,0.8900,4271.4946,6.0914,7.1647,4.3712,25.4900,19.6000,30.0510,
AGI,"Alamos Gold Inc.*",21,Buy,35183.7109,0.8900,1991.5608,5.7829,4.7679,1.9886,11.5000,7.6400,50.5236,
TCW,"Trican Well Service Ltd",22,Buy,35183.7109,0.8900,3294.7092,7.7208,6.3336,2.9297,22.6200,14.2400,58.8483,
KEY,"Keyera Corp.",23,Buy,35183.7109,0.8900,3258.8843,9.8436,11.0167,4.8123,45.8300,29.3900,55.9374,
PRQ1,"Progress Energy Res",24,Buy,35183.7109,0.8900,2931.1025,7.8501,10.4265,1.6153,12.6800,11.7400,8.0068,
CPG,"Crescent Pt Energy Corp",25,Buy,35183.7109,0.8900,12194.0713,19.9700,19.4349,2.2783,44.4500,37.5500,18.3755,
DGC,"Detour Gold Corp.*",26,Buy,35183.7109,0.8900,3619.3643,8.3089,5.9582,3.2470,36.7400,31.8500,15.3532,
YRI,"Yamana Gold Inc.*",27,Buy,35183.7109,0.8900,11556.2295,9.4625,9.9771,1.6380,15.5000,10.8000,43.5185,
RGL,"Royal Gold Inc. *",28,Buy,35183.7109,0.8900,4063.9917,25.9632,27.9195,2.8698,74.5100,52.2600,42.5756,
AGU,"Agrium Inc. *",29,Buy,35183.7109,0.8900,13244.4873,37.3270,33.9595,2.2498,83.9800,74.2500,13.1044,
TA,"TransAlta Corporation",30,Buy,35183.7109,0.8900,4907.5469,12.4910,13.5987,1.8048,22.0200,21.1300,4.2120,
BHC,"Bausch Health Comp.*",31,Buy,35183.7109,0.8900,13084.9131,14.9865,9.1002,2.9293,43.9000,24.3900,79.9918,
K,"Kinross Gold Corp. *",32,Buy,35183.7109,0.8900,19354.2520,12.7407,8.9730,1.3367,17.0300,18.0300,-5.5463,
TOU,"Tourmaline Oil Corp.",33,Buy,35183.7109,0.8900,5161.8496,12.1694,10.2760,2.6121,34.0000,n/a,n/a,
PVE,"Provident Energy Ltd.",34,Buy,35183.7109,0.8900,2293.0815,2.0662,2.1404,4.2860,8.4700,6.6800,26.7964,
BTE,"Baytex Energy Corp.",35,Buy,35183.7109,0.8900,5863.2139,9.9276,9.1750,5.2899,50.4000,34.9500,44.2060,
