Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
SMF,"Semafo Inc.*",1,Buy,32246.9805,0.6700,2348.9092,1.6979,1.1482,5.1475,8.7400,2.2000,297.2727,
MG,"Magna Intl. Inc. *",2,Buy,32246.9805,0.6700,9398.9492,72.0547,73.5305,1.1574,83.0400,49.6000,67.4194,
CG,"Centerra Gold Inc.*",3,Buy,32246.9805,0.6700,3520.1357,4.9913,3.9169,3.0357,14.9700,6.4500,132.0930,
ANV,"Allied Nevada Gold *",4,Buy,32246.9805,0.6700,2203.2925,6.1065,1.8828,4.0940,25.0000,8.8400,182.8054,
TCW,"Trican Well Service Ltd",5,Buy,32246.9805,0.6700,2042.8405,6.3336,5.3267,2.2483,14.2400,10.1400,40.4339,
UFS,"Domtar Corporation*",6,Buy,32246.9805,0.6700,2702.5198,66.4321,63.3125,0.9625,63.9400,38.6900,65.2623,
CFW,"Calfrac Well Services",7,Buy/Sell,32246.9805,0.6700,1022.9078,10.8409,10.0820,2.1908,23.7500,12.4000,91.5323,
ELD,"Eldorado Gold Corp.*",8,Buy,32246.9805,0.6700,11444.5479,5.4402,2.6801,3.7479,20.9400,11.3000,85.3097,
WFT,"West Fraser Timber Co.",9,Buy,32246.9805,0.6700,1481.0438,39.7824,44.0463,0.9303,37.0100,25.5000,45.1372,
PSI,"Pason Systems Inc.",10,Buy/Sell,32246.9805,0.6700,961.7142,3.8317,4.1352,3.0796,11.8000,10.4500,12.9187,
BHC,"Bausch Health Comp.*",11,Buy,32246.9805,0.6700,3868.2053,9.1002,9.2148,2.7090,24.3900,13.9900,74.3388,
NTR,"Nutrien Ltd. *",12,Buy,32246.9805,0.6700,46565.6016,23.4924,21.6289,6.7125,157.0000,97.1800,61.5559,
CLT,"Celtic Exploration",13,Buy,32246.9805,0.6700,1028.7058,4.4925,4.4650,2.5442,11.4300,7.9100,44.5006,
DDC,"Dominion Diamond Corp*",14,Buy/Sell,32246.9805,0.6700,899.1815,8.8822,10.9725,1.1510,10.7300,6.4200,67.1339,
LNR,"Linamar Corp.",15,Buy,32246.9805,0.6700,1195.6930,12.7558,12.6229,1.4556,18.4800,12.7000,45.5118,
GNA,"Gerdau Ameristeel *",16,Buy,32246.9805,0.6700,5070.5234,7.0390,7.6738,1.6607,11.6900,7.9500,47.0440,
DC.A,"Dundee Corporation, A",17,Buy,32246.9805,0.6700,761.2998,14.1434,12.4445,0.7968,11.2700,10.2900,9.5238,
OSK1,"Osisko Mining Corp.",18,Buy,32246.9805,0.6700,5250.6577,3.8201,2.5395,3.7146,14.1900,7.1600,98.1844,
BIR,"Birchcliff Energy Ltd.",19,Buy,32246.9805,0.6700,1121.2526,4.5431,4.5191,1.9766,8.9800,6.7000,34.0298,
PRE,"Pacific Expl. & Prod.*",20,Buy,32246.9805,0.6700,6643.2441,7.2426,7.5121,3.4725,25.1500,12.4400,102.1704,
EQN,"Equinox Minerals Ltd.*",21,Buy,32246.9805,0.6700,3368.8184,1.1800,1.2533,4.0339,4.7600,2.7300,74.3590,
FFH,"Fairfax Financial*",22,Buy,32246.9805,0.6700,8427.0986,405.8949,367.2431,1.0419,422.8900,372.1800,13.6251,
OGC,"OceanaGold Corporation*",23,Buy/Sell,32246.9805,0.6700,787.2838,2.1162,2.3479,1.6303,3.4500,0.8500,305.8824,
UTS,"UTS Energy Corp.",24,Buy,32246.9805,0.6700,1680.4603,1.8126,1.4830,1.9530,3.5400,1.7900,97.7654,
ATD.B,"Aliment'n Couche-Tard*",25,Buy,32246.9805,0.6700,4244.2910,9.5414,8.2204,2.4091,22.8900,18.7600,22.0149,
NGD,"New Gold Inc.*",26,Buy,32246.9805,0.6700,2643.7542,4.8059,5.3210,1.4045,6.7500,3.7200,81.4516,
WPM,"Wheaton Precious Metal*",27,Buy,32246.9805,0.6700,8271.9873,5.7022,4.8781,4.2177,24.0500,11.3800,111.3357,
RET.A,"Reitman's (Cda.) Ltd.,A",28,Buy,32246.9805,0.6700,1242.6372,7.7780,7.4882,2.4158,18.7900,15.1500,24.0264,
ASR,"Alacer Gold Corp. *",29,Buy,32246.9805,0.6700,1004.9047,0.7919,0.7690,9.1426,7.2400,2.3400,209.4017,
OTEX,"Open Text Corporation*",30,Buy,32246.9805,0.6700,2668.2056,16.5404,15.1377,2.8379,46.9400,38.5600,21.7324,
CCT,"Catamaran Corp.*",31,Buy,32246.9805,0.6700,2537.4177,17.5689,10.4640,4.7504,83.4600,44.7600,86.4611,
PXX,"BlackPearl Resources",32,Buy,32246.9805,0.6700,832.2090,1.6093,1.6865,1.8952,3.0500,1.6600,83.7349,
BIN,"Progressive Waste Sol.*",33,Buy,32246.9805,0.6700,2786.4309,10.2499,11.2852,2.5776,25.2500,14.7800,70.8390,
CEE,"Centamin plc*",34,Buy,32246.9805,0.6700,2950.7732,0.4709,0.4643,6.2108,2.8700,1.4800,93.9189,
WN,"Weston Ltd., George",35,Buy,32246.9805,0.6700,10533.7051,47.7323,46.9804,1.7097,81.6100,57.0600,43.0249,
