Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
BCB,"Cott Corporation *",1,Buy,28923.5195,0.2000,570.7702,5.1452,5.7371,1.4354,7.0200,2.0200,247.5247,
CAS,"Cascades Inc.",2,Buy/Sell,28923.5195,0.2000,693.5919,13.4300,12.2561,0.5302,7.1200,6.9900,1.8598,
BLS1,"Boliden AB *",3,Buy,28923.5195,0.2000,3011.3560,8.6000,8.1072,1.2671,11.0100,6.7900,62.1502,
CCT,"Catamaran Corp.*",4,Buy,28923.5195,0.2000,1103.1102,10.4640,7.7901,4.5714,44.7600,16.2100,176.1259,
GRT.UN,"Granite REIT",5,Buy,28923.5195,0.2000,684.7393,39.8772,39.0841,0.3946,14.6600,22.5000,-34.8444,
IMX,"Imax Corporation *",6,Buy/Sell,28923.5195,0.2000,628.6058,0.0100,0.0100,19.6938,10.2900,7.6200,35.0394,
FFH,"Fairfax Financial*",7,Buy,28923.5195,0.2000,6254.7456,367.2431,256.5470,1.0831,372.1800,233.0000,59.7339,
FNX,"FNX Mining Company Inc.",8,Buy,28923.5195,0.2000,800.9750,4.1758,9.1668,2.2032,9.2000,15.5000,-40.6452,
DC.A,"Dundee Corporation, A",9,Buy,28923.5195,0.2000,857.0057,12.4445,14.4787,0.8269,10.2900,14.1500,-27.2792,
DW1,"DundeeWealth Inc.",10,Buy,28923.5195,0.2000,1352.9553,7.0538,7.6247,1.6162,11.4000,15.0000,-24.0000,
ATD.B,"Aliment'n Couche-Tard*",11,Buy,28923.5195,0.2000,3446.6606,8.2204,6.7627,2.2637,18.7600,13.0000,44.3077,
CS,"Capstone Mining Corp.*",12,Buy,28923.5195,0.2000,544.6384,1.6322,0.0100,1.8202,2.7800,2.9690,-6.3658,
PRE,"Pacific Expl. & Prod.*",13,Buy,28923.5195,0.2000,2663.8655,7.5121,6.5526,1.7698,12.4400,10.3400,20.3095,
GMP,"GMP Capital Inc.",14,Buy,28923.5195,0.2000,877.6370,3.9977,4.3052,3.4270,13.7000,14.3200,-4.3296,
NGD,"New Gold Inc.*",15,Buy,28923.5195,0.2000,1325.1830,5.3210,7.3067,0.7471,3.7200,5.6000,-33.5714,
TCM,"Thompson Creek Metals*",16,Buy,28923.5195,0.2000,1549.7383,8.0822,6.6739,1.6648,12.5900,16.6500,-24.3844,
TKO,"Taseko Mines Ltd.",17,Buy/Sell,28923.5195,0.2000,482.5740,1.4380,1.6287,1.8428,2.6500,3.2300,-17.9567,
RMX,"Rubicon Minerals Corp.",18,Buy,28923.5195,0.2000,642.3812,0.7536,0.5696,4.4321,3.3400,1.8400,81.5217,
LUN,"Lundin Mining Corp.*",19,Buy,28923.5195,0.2000,2155.4937,5.7077,9.4719,0.6965,3.7200,5.0800,-26.7717,
MRE,"Martinrea Int'l Inc.",20,Buy/Sell,28923.5195,0.2000,602.5887,6.3674,10.3692,1.1276,7.1800,7.3000,-1.6438,
BNK,"Bankers Petroleum Ltd.*",21,Buy,28923.5195,0.2000,885.0291,0.9766,1.2297,4.3226,3.9500,4.8500,-18.5567,
LGF,"Lions Gate Ent.*",22,Buy,28923.5195,0.2000,841.3922,1.3659,1.5830,5.6290,7.1944,10.6898,-32.6985,
PMCS,"PMC-Sierra Inc.*",23,Buy,28923.5195,0.2000,2239.1658,4.1727,3.3926,2.5504,9.9580,9.5634,4.1261,
JAG1,"Jaguar Mining Inc.*",24,Buy,28923.5195,0.2000,836.1000,4.1015,3.2342,2.7933,10.7200,7.2500,47.8621,
LLL,"lululemon athletica*",25,Buy,28923.5195,0.2000,1081.9133,2.8615,1.8125,8.4196,21.9500,20.5100,7.0210,
AFN,"Ag Growth International",26,Buy/Sell,28923.5195,0.2000,416.7201,11.7968,11.0351,2.8114,32.2100,29.3000,9.9317,
GC,"Great Cdn. Gaming Corp.",27,Buy/Sell,28923.5195,0.2000,576.6509,4.9907,4.7670,1.4066,7.0200,8.5600,-17.9907,
RY,"Royal Bank of Canada",28,Buy,28923.5195,0.2000,79720.3438,21.8101,19.8138,2.5883,56.4500,48.7500,15.7949,
TECK.B,"Teck Resources Limited",29,Buy,28923.5195,0.2000,15547.7813,24.1000,19.0370,1.1494,26.4200,44.3600,-40.4418,
FRG,"Fronteer Gold Inc.",30,Buy,28923.5195,0.2000,545.1144,3.7504,4.3314,1.2239,4.5900,3.6600,25.4098,
NA,"National Bank of Canada",31,Buy,28923.5195,0.2000,9868.2070,32.5085,29.4378,1.8903,61.4500,50.0200,22.8509,
SEA,"Seabridge Gold Inc.",32,Buy,28923.5195,0.2000,1153.0942,2.6248,2.3092,11.7114,30.7400,16.2800,88.8206,
HBM,"Hudbay Minerals Inc.*",33,Buy,28923.5195,0.2000,1294.6428,10.9138,9.7145,0.7733,8.4400,10.7400,-21.4153,
SMF,"Semafo Inc.*",34,Buy,28923.5195,0.2000,551.4276,1.1482,0.7680,2.0477,2.2000,1.3100,67.9389,
HCG,"Home Capital Group",35,Buy,28923.5195,0.2000,1326.1093,14.9933,11.4353,2.5978,38.5600,34.5500,11.6064,
