Symbol,Company,Rank,Status, TRI ,TB90 ,MKT CAP ,BOOK ,BOOK4Q ,P/B ,PRNOW ,PR12M ,PCHG12M ,
DOI,,,,
Min (>=),,,,
Max (<),,,,
PKI,"Parkland Fuel Corp.",1,Buy,55229.8008,1.5200,5392.3091,12.7062,12.1734,3.2500,40.6600,27.0200,50.4811,
HSE,"Husky Energy Inc.",2,Buy,55229.8008,1.5200,21690.5137,17.8347,16.4304,1.2185,21.5800,14.6100,47.7071,
TFII,"TFI International Inc.",3,Buy,55229.8008,1.5200,4228.3950,16.9713,14.3448,2.8542,48.4400,30.5400,58.6116,
GOOS,"Canada Goose Holdings",4,Buy,55229.8008,1.5200,3813.6875,2.0711,1.2591,38.2743,79.2700,21.8400,262.9579,
GEI,"Gibson Energy Inc.",5,Buy,55229.8008,1.5200,2793.2798,5.6926,7.6528,3.4044,19.3800,17.4600,10.9966,
KML,"Kinder Morgan Canada",6,Buy,55229.8008,1.5200,1787.2990,8.8673,8.9068,1.9736,17.1800,17.3400,-0.9227,
GTE,"Gran Tierra Energy Inc*",7,Buy,55229.8008,1.5200,1787.5454,3.2767,3.2257,1.3868,4.5100,2.5600,76.1719,
TVE,"Tamarack Valley Energy",8,Buy/Sell,55229.8008,1.5200,1105.0428,3.4125,3.4627,1.4212,4.8500,2.3100,109.9567,
TOG,"TORC Oil & Gas Ltd.",9,Buy/Sell,55229.8008,1.5200,1493.8674,7.0808,7.3068,0.9962,7.0100,5.1000,37.4510,
DOO,"BRP Inc",10,Buy,55229.8008,1.5200,2326.0664,0.0100,0.0100,6812.0005,68.1200,41.5000,64.1446,
WFT,"West Fraser Timber Co.",11,Buy,55229.8008,1.5200,6176.8560,40.6717,31.2792,2.1285,86.5700,64.7900,33.6163,
CNQ,"Cdn Natural Resources",12,Buy,55229.8008,1.5200,54410.9453,26.5474,25.5017,1.6785,44.5600,38.4700,15.8305,
CFP,"Canfor Corp.",13,Buy,55229.8008,1.5200,3870.3413,15.9517,12.1411,1.8863,30.0900,21.8700,37.5857,
SU,"Suncor Energy Inc.",14,Buy,55229.8008,1.5200,87442.9922,27.9882,26.9936,1.9444,53.7200,39.1300,37.2860,
KEL,"Kelt Exploration Ltd.",15,Buy,55229.8008,1.5200,1684.7090,4.7361,4.6970,1.9341,9.1600,6.0200,52.1595,
MX,"Methanex Corporation *",16,Buy,55229.8008,1.5200,7568.3809,24.1159,24.0300,3.9781,95.2200,63.8100,49.2243,
NTR,"Nutrien Ltd. *",17,Buy,55229.8008,1.5200,45130.8633,50.2861,32.8342,1.4694,73.3400,54.3250,35.0023,
ATA,"ATS Automation Tooling",18,Buy,55229.8008,1.5200,2081.1050,8.1736,7.5721,2.7063,22.1200,12.6100,75.4164,
RUS,"Russel Metals Inc.",19,Buy,55229.8008,1.5200,1771.0569,14.7929,13.2670,1.9795,28.5300,26.0200,9.6464,
BTE,"Baytex Energy Corp.",20,Buy,55229.8008,1.5200,2145.9805,8.1031,8.2370,0.6808,3.9100,3.1600,23.7342,
TIH,"Toromont Industries Ltd",21,Buy,55229.8008,1.5200,5304.2988,14.9353,11.7713,4.3682,65.2400,53.7600,21.3542,
MNW,"Mitel Networks Corp.*",22,Buy,55229.8008,1.5200,1759.2240,4.3023,3.6732,3.3582,14.3400,10.1400,41.4201,
YRI,"Yamana Gold Inc.*",23,Buy,55229.8008,1.5200,3435.5205,5.7199,6.1192,0.6376,3.6200,3.6900,-1.8970,
OGC,"OceanaGold Corporation*",24,Buy,55229.8008,1.5200,2383.6685,3.3034,2.9267,1.1867,3.8600,3.8800,-0.5155,
RBA,"Ritchie Bros. Auctions*",25,Buy,55229.8008,1.5200,5383.0693,9.5508,8.6289,5.3815,49.7500,37.1200,34.0248,
ENGH,"Enghouse Systems Ltd.",26,Buy,55229.8008,1.5200,2187.3003,12.0929,10.6927,6.8559,80.4400,51.1900,57.1401,
IFP,"Interfor Corporation",27,Buy,55229.8008,1.5200,1573.0579,13.9537,11.6541,1.6096,22.4600,17.5500,27.9772,
SCL,"ShawCor Ltd.",28,Buy,55229.8008,1.5200,1922.5479,15.0079,14.8741,1.8468,27.4400,25.4000,8.0315,
CGX,"Cineplex Inc.",29,Buy,55229.8008,1.5200,2084.2891,10.9790,11.3477,3.0789,32.9100,38.3900,-14.2745,
KEY,"Keyera Corp.",30,Buy,55229.8008,1.5200,7472.8188,12.5108,10.3391,2.9425,35.9600,36.2400,-0.7726,
PVG,"Pretium Resources Inc*",31,Buy,55229.8008,1.5200,1985.1681,6.1868,6.0703,1.7643,10.8500,10.3600,4.7297,
VET,"Vermilion Energy Inc.",32,Buy,55229.8008,1.5200,6315.7832,17.3962,13.6236,2.4468,41.4400,40.7000,1.8182,
DSG,"Descartes Systems*",33,Buy,55229.8008,1.5200,3501.9514,8.5058,7.8869,5.2637,45.5600,35.0600,29.9487,
ECA,"EnCana Corporation*",34,Buy,55229.8008,1.5200,16524.0566,8.9282,9.0511,1.9500,17.2800,11.6500,48.3262,
BHC,"Bausch Health Comp.*",35,Buy,55229.8008,1.5200,10510.0762,13.0325,14.6445,2.3301,30.1400,16.7900,79.5116,
